gene,median_effect,mean_effect,min_effect,max_effect,q25_effect,q75_effect,frac_dep_lt_minus05,frac_dep_lt_minus03,n_cell_lines,is_strongly_essential,dep_prob_median,dep_prob_mean,frac_prob_gt_05,aml_mean_tpm_log1p,aml_median_tpm_log1p,rank_score,is_known_aml_target
CDC25B,-0.22811003029346466,-0.2549830973148346,-0.9526241421699524,0.02420763485133648,-0.32064108550548553,-0.14821148663759232,0.09302325581395349,0.3023255813953488,43,False,0.16292941570281982,0.21492280066013336,0.09302325581395349,4.597363471984863,4.647783279418945,0.19590904671092368,False
FAHD2B,-0.25098443031311035,-0.23215824365615845,-0.5729126334190369,0.2356136590242386,-0.33249497413635254,-0.1691802740097046,0.024390243902439025,0.34146341463414637,41,False,0.16901619732379913,0.1974855214357376,0.04878048780487805,3.6162407398223877,3.72753643989563,0.19290514795518504,False
PPP1R35,-0.21297165751457214,-0.2429913878440857,-0.92628413438797,0.17546553909778595,-0.34008027613162994,-0.12958358973264694,0.06976744186046512,0.37209302325581395,43,False,0.11908790469169617,0.2212354987859726,0.09302325581395349,4.948746681213379,4.9831461906433105,0.1924462906843008,False
AP2B1,-0.19837331771850586,-0.2274465411901474,-0.677319347858429,0.1286882907152176,-0.3473711609840393,-0.09515818953514099,0.09302325581395349,0.37209302325581395,43,False,0.1047872006893158,0.21126748621463776,0.13953488372093023,5.884272575378418,5.813376426696777,0.19215362855168278,False
SFN,-0.259470134973526,-0.2583550214767456,-0.5268787741661072,-0.022753899917006493,-0.310902938246727,-0.19706585258245468,0.023255813953488372,0.3023255813953488,43,False,0.169167622923851,0.19898967444896698,0.046511627906976744,0.3549252450466156,0.296902596950531,0.18814667674691177,False
SLC25A10,-0.22700825333595276,-0.2365364283323288,-0.7714957594871521,0.23709158599376678,-0.32720398902893066,-0.15936781466007233,0.046511627906976744,0.3488372093023256,43,False,0.1350223869085312,0.20737260580062866,0.09302325581395349,4.251387596130371,4.246497631072998,0.18802647025779237,False
PLA2G12A,-0.24534212052822113,-0.24771957099437714,-0.5340391993522644,0.17640569806098938,-0.3304704278707504,-0.18026801198720932,0.023255813953488372,0.27906976744186046,43,False,0.18082600831985474,0.20764973759651184,0.09302325581395349,3.713503360748291,3.9160823822021484,0.17901014671769255,False
SNTA1,-0.24632051587104797,-0.24988038837909698,-0.45037442445755005,-0.03208262473344803,-0.3104396462440491,-0.19233804941177368,0.0,0.3023255813953488,43,False,0.15563403069972992,0.19072288274765015,0.0,1.5913183689117432,1.210902452468872,0.17455672569746195,False
MECR,-0.1867293417453766,-0.2256237268447876,-0.7453731894493103,0.14491069316864014,-0.3290477693080902,-0.11349699273705482,0.09302325581395349,0.3023255813953488,43,False,0.09254053980112076,0.20347289741039276,0.09302325581395349,4.988043785095215,5.017398834228516,0.17231788370151854,False
CYB561,-0.19780942797660828,-0.20485550165176392,-0.6771526336669922,0.29387059807777405,-0.32137346267700195,-0.10542057082056999,0.06976744186046512,0.3023255813953488,43,False,0.11381806433200836,0.18160653114318848,0.06976744186046512,3.250030040740967,3.341905117034912,0.17190092646105345,False
