pathway,pathway_id,n_genes,pathway_size,odds_ratio,p_value,p_adj_bh,is_signaling,genes
IL-17 signaling pathway - Homo sapiens (human),path:hsa04657,17,95,3.974,8.399392521877064e-06,5.0396355131262386e-05,True,"AK1, C3, CKB, CSF2, CSF3, CXCL1, CXCL2, DAP, F12, F3"
Dilated cardiomyopathy - Homo sapiens (human),path:hsa05414,18,105,3.774,8.58866898736855e-06,5.0673147025474444e-05,False,"AGRN, AGT, C1S, C3, CACNA2D2, CAMP, CAV1, DAP, IGF1, ITGA10"
Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human),path:hsa05412,16,86,4.165,9.190111269144198e-06,5.33327768733942e-05,False,"AGRN, C3, CACNA2D2, CAV1, CTNNB1, DAP, DSG2, F3, ITGA10, ITGA2"
Leukocyte transendothelial migration - Homo sapiens (human),path:hsa04670,19,116,3.575,9.659906420471334e-06,5.5154949562046005e-05,False,"ADK, AK1, ASS1, C3, CAMP, CD99L2, CLDN12, CLDN15, CLDN3, CLDN4"
Hepatitis C - Homo sapiens (human),path:hsa05160,23,159,3.092,1.002552508966202e-05,5.633390288476754e-05,False,"AK1, AK4, BAD, C3, CAP2, CCND1, CISH, CLDN12, CLDN15, CLDN3"
Shigellosis - Homo sapiens (human),path:hsa05131,31,253,2.562,1.0710899674597898e-05,5.849964536250763e-05,False,"ACTR3B, ADK, AGT, AK1, ARPC1A, ARPIN, ASS1, BNIP3, C3, CD44"
Chemical carcinogenesis - receptor activation - Homo sapiens (human),path:hsa05207,28,217,2.715,1.074146030667513e-05,5.849964536250763e-05,True,"BAD, C3, CAMP, CAV1, CAV2, CCND1, CD33, CREB3L1, CREB3L4, CYP1B1"
Cell adhesion molecules - Homo sapiens (human),path:hsa04514,23,160,3.069,1.113662359140167e-05,5.9732799262972596e-05,False,"C3, CD99L2, CDA, CDH1, CDS1, CLDN12, CLDN15, CLDN3, CLDN4, CNTNAP1"
Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human),path:hsa05167,26,196,2.8,1.3390958893351271e-05,7.075223057084104e-05,False,"AK1, C3, CAMP, CAP2, CCND1, CDA, CSF2, CTNNB1, CXCL1, CXCL2"
HIF-1 signaling pathway - Homo sapiens (human),path:hsa04066,18,110,3.568,1.6676097791216173e-05,8.593087191089017e-05,True,"ALDOC, C3, CAP2, DAP, EGFR, F12, F3, ID1, IGF1, IL6"
Longevity regulating pathway - Homo sapiens (human),path:hsa04211,16,90,3.939,1.6749237745343e-05,8.593087191089017e-05,True,"ATG10, C3, CAMP, CREB3L1, CREB3L4, DAP, F3, ID1, IGF1, MET"
Human T-cell leukemia virus 1 infection - Homo sapiens (human),path:hsa05166,28,224,2.617,1.9495340526757117e-05,9.85671611375354e-05,True,"AK1, C3, CAMP, CAP2, CCND1, CDA, CDKN2A, CDS1, CREB3L1, CREB3L4"
Lysine degradation - Homo sapiens (human),path:hsa00310,13,63,4.728,1.9769119889166706e-05,9.85671611375354e-05,False,"ALDH7A1, BAD, DHTKD1, DSEL, F3, MET, MT1A, MT1E, MT1F, NDN"
Cushing syndrome - Homo sapiens (human),path:hsa04934,22,155,3.022,2.1026564467186085e-05,0.00010338060863033157,False,"AGT, AK1, C3, CAMP, CAP2, CAV1, CCND1, CDKN2A, CREB3L1, CREB3L4"
Non-small cell lung cancer - Homo sapiens (human),path:hsa05223,14,73,4.318,2.3036814434280115e-05,0.00011171277136623509,False,"AK1, BAD, C3, CAP2, CCND1, CDKN2A, DAP, EGFR, F12, F3"
mTOR signaling pathway - Homo sapiens (human),path:hsa04150,22,158,2.955,2.8468929942107195e-05,0.00013618920539872902,True,"C3, DAP, EGFR, F3, FZD6, GRB10, ID1, IGF1, LRP5, LRP6"
Chemokine signaling pathway - Homo sapiens (human),path:hsa04062,25,193,2.722,2.9325928676818088e-05,0.00013841838335458138,True,"ADK, AK1, ASS1, BAD, C3, CAMP, CCL28, CKB, CX3CL1, CXCL1"
"Valine, leucine and isoleucine degradation - Homo sapiens (human)",path:hsa00280,11,48,5.4,3.0460441895088958e-05,0.00014188153198501963,False,"AGT, ALDH6A1, ALDH7A1, BAD, BCAM, CSF1, CSF3, F3, HIBADH, MET"
p53 signaling pathway - Homo sapiens (human),path:hsa04115,14,75,4.176,3.167125317213845e-05,0.00014560550159658457,True,"C3, CAP2, CCND1, CDKN2A, CDS1, CKB, F3, GPC1, IGF1, MET"
"Glycine, serine and threonine metabolism - Homo sapiens (human)",path:hsa00260,10,41,5.855,3.92499423861554e-05,0.0001781343539063976,False,"AGT, ALDH7A1, C3, GAMT, GCAT, GCSH, MAOA, MET, PSAT1, PSPH"
Malaria - Homo sapiens (human),path:hsa05144,11,50,5.122,4.5722912220612294e-05,0.00020488494843160445,False,"C3, CSF3, DAP, F3, GEM, ICAM1, IL6, MET, SDC1, TGFB2"
Choline metabolism in cancer - Homo sapiens (human),path:hsa05231,16,99,3.51,5.658649398379127e-05,0.00024834976040296995,False,"C3, CKB, CPD, DAP, EGFR, F12, F3, MALL, MYC, PAM"
VEGF signaling pathway - Homo sapiens (human),path:hsa04370,12,60,4.543,5.682579263457787e-05,0.00024834976040296995,True,"ADK, AK1, BAD, C3, DAP, EGFR, F3, KDR, MALL, PI3"
Renal cell carcinoma - Homo sapiens (human),path:hsa05211,13,70,4.146,6.370792806938678e-05,0.0002750317870312551,False,"AK1, AK4, BAD, C3, CAP2, DAP, EGFR, F12, MALL, MET"
FoxO signaling pathway - Homo sapiens (human),path:hsa04068,19,133,3.039,6.879148863061957e-05,0.0002933998430751726,True,"BNIP3, C3, CAP2, CCND1, CPD, DAP, EGFR, F12, FBXO2, FBXO32"
Melanogenesis - Homo sapiens (human),path:hsa04916,16,101,3.427,7.253513085281553e-05,0.00030223932032934507,False,"AGT, C1R, C3, CAMP, CREB3L1, CREB3L4, CTNNB1, DAP, F3, FZD6"
JAK-STAT signaling pathway - Homo sapiens (human),path:hsa04630,22,168,2.751,7.335039910925573e-05,0.00030223932032934507,True,"AK1, CAP2, CCND1, CISH, CKAP4, CSF2, CSF3, CTF1, DAP, EGFR"
Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human),path:hsa05120,13,71,4.074,7.427915499619498e-05,0.00030223932032934507,True,"AK1, C3, CXCL1, CXCL2, EGFR, F12, F3, ID1, MALL, MET"
Prolactin signaling pathway - Homo sapiens (human),path:hsa04917,13,71,4.074,7.427915499619498e-05,0.00030223932032934507,True,"C3, CCND1, CISH, CKAP4, DAP, EGFR, F12, F3, ID1, PI3"
Pathways of neurodegeneration - multiple diseases - Homo sapiens (human),path:hsa05022,46,483,1.938,7.608525767176817e-05,0.00030607024108870377,True,"AK1, ATG10, BAD, C3, CAV1, CAV2, CDA, CKB, CSF1, CTNNB1"
Antifolate resistance - Homo sapiens (human),path:hsa01523,8,30,6.59,0.00011870459714628879,0.0004721508695481599,False,"C3, CD33, F3, FOLR1, GARS, ID1, IL6, MET"
Platinum drug resistance - Homo sapiens (human),path:hsa01524,13,75,3.811,0.00013320936799942576,0.0005214548690918852,False,"AK1, BAD, C3, CAP2, CDKN2A, DAP, F3, GSTO2, GSTT2B, MGST1"
Hepatitis B - Homo sapiens (human),path:hsa05161,21,163,2.698,0.0001340463081563886,0.0005214548690918852,False,"ADK, AK1, AK4, BAD, C3, CAMP, CAP2, CREB3L1, CREB3L4, DAP"
Apelin signaling pathway - Homo sapiens (human),path:hsa04371,19,140,2.862,0.00013827971089296672,0.0005320762788707633,True,"AGT, C1S, C3, CAMP, CCND1, CD33, CDH1, CDS1, DAP, ENDOG"
Coronavirus disease - COVID-19 - Homo sapiens (human),path:hsa05171,27,238,2.339,0.00014593949469537967,0.0005555116249695097,False,"AGT, AK1, AK4, C1R, C1S, C3, CFB, CSF2, CSF3, CXCL1"
NOD-like receptor signaling pathway - Homo sapiens (human),path:hsa04621,23,189,2.529,0.0001572046254395469,0.0005920259298468043,True,"ADK, AGT, AK1, AK4, ARPIN, C3, CAMP, CXCL1, CXCL2, DAP"
MicroRNAs in cancer - Homo sapiens (human),path:hsa05206,33,320,2.106,0.00018037856964916042,0.0006671669272017699,False,"AK1, AK4, C3, CAP2, CCND1, CD33, CD44, CDA, CDC25B, CDKN2A"
Calcium signaling pathway - Homo sapiens (human),path:hsa04020,28,254,2.266,0.0001809266243259037,0.0006671669272017699,True,"ADK, AGT, ASPH, C1R, C3, CAMK1D, CAMP, CAV1, CAV2, CD33"
Complement and coagulation cascades - Homo sapiens (human),path:hsa04610,14,88,3.44,0.0001924095926537024,0.000702195832983615,True,"C1R, C1S, C3, CFB, CFH, CFI, F12, F3, GEM, PAM"
Cornified envelope formation - Homo sapiens (human),path:hsa04382,25,217,2.378,0.00019909658042661194,0.0007124930543864409,False,"C3, CLDN12, CLDN15, CLDN3, CLDN4, DSG2, F3, JUP, KRT18, KRT19"
Pertussis - Homo sapiens (human),path:hsa05133,13,78,3.634,0.00020052101938720327,0.0007124930543864409,False,"AGT, AK1, AK4, C1R, C1S, C3, DAP, F12, F3, ICAM1"
Fc gamma R-mediated phagocytosis - Homo sapiens (human),path:hsa04666,15,99,3.248,0.00020126922440294942,0.0007124930543864409,False,"ACTR3B, AK1, AMPH, ARPC1A, C3, DAP, F3, MALL, MARCKSL1, MYO10"
Epstein-Barr virus infection - Homo sapiens (human),path:hsa05169,24,205,2.421,0.00020762219360038103,0.0007277055102429197,False,"AK1, AK4, AMPH, C3, CAP2, CCND1, CD44, CDA, CXCL1, DAP"
Sphingolipid signaling pathway - Homo sapiens (human),path:hsa04071,17,122,2.947,0.0002214294511080372,0.0007684904479631878,True,"ASS1, C3, CDA, CERS2, DAP, F12, F3, ID1, MALL, PI3"
Fatty acid biosynthesis - Homo sapiens (human),path:hsa00061,6,18,9.048,0.00022495004511758438,0.0007731292812779114,False,"ACACA, CSF3, F3, FASN, MECR, MET"
Arginine and proline metabolism - Homo sapiens (human),path:hsa00330,10,50,4.535,0.00023385947228159664,0.0007960216652662039,False,"ALDH7A1, BAD, CKB, GAMT, GOT1, MAOA, MET, MT1A, P4HA2, PYCR1"
Influenza A - Homo sapiens (human),path:hsa05164,21,173,2.519,0.0003087761596543307,0.0010410167668346007,False,"AGT, AK1, AK4, C3, CAP2, CISH, CKB, CXCL1, DAP, EIF2AK1"
Glycosaminoglycan degradation - Homo sapiens (human),path:hsa00531,6,19,8.352,0.00031419933186844953,0.0010493072026550106,False,"HGSNAT, HYAL2, HYAL3, IDUA, NAGLU, PAM"
Cysteine and methionine metabolism - Homo sapiens (human),path:hsa00270,10,52,4.319,0.00032739907559050535,0.0010831707734489616,False,"AGT, AHCY, BCAM, F3, GOT1, MET, MPST, PSAT1, TNC, TST"
"Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)",path:hsa04928,16,115,2.94,0.000341393088369515,0.0011190106785445213,False,"AKAP1, C3, CAMP, CAP2, CD33, CREB3L1, CREB3L4, DAP, EGFR, LRP5"
Mitophagy - animal - Homo sapiens (human),path:hsa04137,15,105,3.03,0.0003878759304600784,0.0012497088728124187,False,"BEX5, BNIP3, C3, CCZ1B, CKB, F12, F3, MALL, MAP1B, MAP1LC3A"
Transcriptional misregulation in cancer - Homo sapiens (human),path:hsa05202,23,201,2.357,0.00038832761584566683,0.0012497088728124187,False,"ADK, AK1, AMPH, BMP2, C3, CAP2, CSF1, CSF2, EGFR, ETV1"
Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human),path:hsa05208,25,227,2.259,0.0003978917362595866,0.0012689520237467897,False,"ADK, AK1, ARSE, BAD, C3, CDA, CYP1B1, DAP, EGFR, EPHX1"
Basal cell carcinoma - Homo sapiens (human),path:hsa05217,11,63,3.839,0.0004033109117567182,0.0012747505603739127,False,"AK1, BMP2, CAP2, CTNNB1, F3, FZD6, NDN, SHE, WNT3, WNT4"
Neurotrophin signaling pathway - Homo sapiens (human),path:hsa04722,16,120,2.798,0.0005536480880269115,0.0017344373731108555,True,"AK1, AK4, BAD, BEX3, C3, DAP, EGFR, F12, F3, ID1"
Tyrosine metabolism - Homo sapiens (human),path:hsa00350,8,37,4.997,0.000564354520541552,0.0017524693006290301,False,"C3, F3, FAH, GOT1, MAOA, MET, PAM, SHE"
Efferocytosis - Homo sapiens (human),path:hsa04148,19,157,2.507,0.0006079891874642014,0.0018588681445637545,False,"ADK, AK1, ASS1, ATP11A, C3, CAMP, CX3CL1, DAP, F3, GULP1"
Legionellosis - Homo sapiens (human),path:hsa05134,10,56,3.942,0.0006091206349417952,0.0018588681445637545,False,"BNIP3, C3, CXCL1, CXCL2, DAP, EEF1A2, F3, ID1, IL6, PAM"
Hippo signaling pathway - multiple species - Homo sapiens (human),path:hsa04392,7,29,5.761,0.0006161010503430513,0.001864100613858463,True,"AK1, CDH1, F3, TEAD1, TEAD4, WWTR1, YAP1"
Cell cycle - Homo sapiens (human),path:hsa04110,19,158,2.489,0.0006578005978605467,0.00197340179358164,False,"AK1, C3, CAP2, CCND1, CDA, CDC25B, CDH1, CDK7, CDKN2A, CDS1"
Nicotinate and nicotinamide metabolism - Homo sapiens (human),path:hsa00760,8,38,4.831,0.000682270349427071,0.0020296109554385133,False,"ADK, ENPP3, F3, MET, NNMT, NUDT13, QPRT, SIRT1"
Hematopoietic cell lineage - Homo sapiens (human),path:hsa04640,14,100,2.958,0.0007367837897424996,0.0021643410782047237,False,"C3, CD33, CD44, CSF1, CSF2, CSF3, F3, FLT3, IL1R1, IL6"
Protein processing in endoplasmic reticulum - Homo sapiens (human),path:hsa04141,20,172,2.396,0.000739788899612349,0.0021643410782047237,False,"AGT, AK1, C11ORF1, C3, CAP2, CDA, CKAP4, DAP, F12, F3"
Thiamine metabolism - Homo sapiens (human),path:hsa00730,5,15,9.04,0.0007708662232369204,0.0022365774311619256,False,"ADK, AK1, AK4, PPL, TES"
