gene,module,aml_mean,other_mean,selectivity,cohens_d,t_statistic,p_value,aml_dependent_pct,n_aml,n_other,q_value,is_selective
CD44,Cell_adhesion,-0.02043471065317955,-0.06841612576866749,0.04798141511548794,0.29752567507500105,2.316619696915184,0.027008331075980507,0.0,30,1153,0.05401666215196101,False
FERMT1,Cell_adhesion,0.030392914456629526,-0.06341767461158593,0.09381058906821546,0.46508829892326103,4.8252021766310556,2.6513398929062756e-05,0.0,30,1153,7.968933970124051e-05,False
FERMT2,Cell_adhesion,-0.16084431332714735,-0.6340089278482406,0.47316461452109326,0.9114156268556804,15.964221591010162,3.229869638537701e-22,0.0,30,1153,3.875843566245241e-21,False
PRICKLE1,WNT_core,-0.05632798154808036,-0.017219736781109968,-0.03910824476697039,-0.327796443801905,-1.681278237430338,0.10296790459473022,0.0,30,1153,0.3603876660815558,False
FZD6,WNT_core,0.12180570504028312,0.13023147559082815,-0.008425770550545025,-0.06673407425222902,-0.2926495289915554,0.7718061129498186,0.0,30,1153,0.7718061129498186,False
WNT7B,WNT_core,0.04363792001572113,0.03757681009791144,0.006061109917809691,0.053297860885215945,0.29997691214351846,0.766218925233003,0.0,30,1153,0.7718061129498186,False
LRP5,WNT_core,-0.13594749097503195,-0.15054690800631887,0.014599417031286921,0.1134760129447682,0.7051878036547942,0.48594899218314747,0.0,30,1153,0.6803285890564065,False
WNT4,WNT_core,0.002142505198663332,-0.014812993214483657,0.016955498413146988,0.1948033304550781,0.9643046800238037,0.34253528487365814,0.0,30,1153,0.6803285890564065,False
LGR4,WNT_core,0.06459559685331738,0.042779174096739696,0.021816422756577684,0.1844299553452483,0.8584418618954553,0.39743076742946215,0.0,30,1153,0.6803285890564065,False
CTNNB1,WNT_core,-0.09952730499340431,-0.22122007318220743,0.12169276818880312,0.33347911835046534,7.620440632690615,1.542256349292251e-11,0.0,30,1153,1.0795794445045758e-10,False
BCL2,Apoptosis_BCL2,-0.3288594398517247,-0.03326864080475925,-0.2955907990469655,-1.512830271278881,-4.417131743625351,0.0001244509344376007,30.0,30,1153,0.0007467056066256042,False
MCL1,Apoptosis_BCL2,-1.0190397923489505,-0.8066254783555928,-0.21241431399335764,-0.46055039513824836,-2.2936312188525,0.02892107869444496,83.33333333333334,30,1153,0.08676323608333489,False
BCL2A1,Apoptosis_BCL2,-0.07222160016462267,-0.03215360295548409,-0.04006799720913858,-0.3167635756284818,-1.451958645292289,0.15686631241956941,3.3333333333333335,30,1153,0.24682872920520577,False
BAX,Apoptosis_BCL2,0.09760344010892726,0.11320129002475911,-0.015597849915831852,-0.11833023580813666,-0.7427296160469311,0.4632186605429366,0.0,30,1153,0.5558623926515239,False
BCL2L1,Apoptosis_BCL2,-1.0053308904527614,-1.0347848758766538,0.029453985423892437,0.04847365643706013,0.2003596275301398,0.8425576326118298,63.33333333333333,30,1153,0.8425576326118298,False
BID,Apoptosis_BCL2,0.14579336782956517,0.08452498779843227,0.0612683800311329,0.32871881458074675,1.4247965945205463,0.16455248613680384,3.3333333333333335,30,1153,0.24682872920520577,False
