sample,threshold,cells,merged_duplicates,matched_genes,total_training_genes,persister_count,non_persister_count,persister_pct,non_persister_pct,mean_prob,std_prob
GSM3396163_HEALTHY,0.3099900007247925,3556,3503,13276,13369,1314,2242,36.95163104611924,63.04836895388076,0.28692105412483215,0.26541873812675476
GSM3396164_HEALTHY,0.3099900007247925,1052,3503,13276,13369,175,877,16.634980988593156,83.36501901140684,0.17383164167404175,0.1972975730895996
GSM3396165_HEALTHY,0.3099900007247925,3136,3503,13276,13369,1176,1960,37.5,62.5,0.2843070924282074,0.2528352737426758
GSM3396166_HEALTHY,0.3099900007247925,3939,3503,13276,13369,1255,2684,31.86087839553186,68.13912160446813,0.24528387188911438,0.21435128152370453
GSM3396167_HEALTHY,0.3099900007247925,3746,3503,13276,13369,1029,2717,27.469300587293112,72.5306994127069,0.24428531527519226,0.28959783911705017
GSM3396168_HEALTHY,0.3099900007247925,4283,3503,13276,13369,1112,3171,25.96310996964744,74.03689003035255,0.22323231399059296,0.17383937537670135
GSM3396169_HEALTHY,0.3099900007247925,4516,3503,13276,13369,1238,3278,27.41364038972542,72.58635961027457,0.20504596829414368,0.25217652320861816
GSM3396170_HEALTHY,0.3099900007247925,3446,3503,13276,13369,771,2675,22.373766686012768,77.62623331398724,0.22265379130840302,0.28889694809913635
GSM3396171_HEALTHY,0.3099900007247925,7247,3503,13276,13369,859,6388,11.853180626466123,88.14681937353387,0.12667204439640045,0.19646792113780975
GSM3396172_HEALTHY,0.3099900007247925,4548,3503,13276,13369,939,3609,20.646437994722955,79.35356200527704,0.19902069866657257,0.2641982436180115
GSM3396173_HEALTHY,0.3099900007247925,3964,3503,13276,13369,1109,2855,27.976791120080723,72.02320887991928,0.23609112203121185,0.2348169982433319
GSM3396174_HEALTHY,0.3099900007247925,4522,3503,13276,13369,1139,3383,25.18796992481203,74.81203007518798,0.22704067826271057,0.3007236421108246
GSM3396175_HEALTHY,0.3099900007247925,5013,3503,13276,13369,2140,2873,42.68900857769798,57.31099142230202,0.3787532150745392,0.3737300634384155
GSM3396176_HEALTHY,0.3099900007247925,3383,3503,13276,13369,673,2710,19.893585574933493,80.1064144250665,0.21886752545833588,0.2438705414533615
GSM3396177_HEALTHY,0.3099900007247925,1700,3503,13276,13369,540,1160,31.76470588235294,68.23529411764706,0.2631041705608368,0.24244460463523865
GSM3396178_HEALTHY,0.3099900007247925,3593,3503,13276,13369,1022,2571,28.444197049819092,71.5558029501809,0.23489968478679657,0.24301820993423462
GSM3396179_HEALTHY,0.3099900007247925,2437,3503,13276,13369,858,1579,35.207221994255235,64.79277800574476,0.29226794838905334,0.24947185814380646
GSM3396180_HEALTHY,0.3099900007247925,1138,3503,13276,13369,289,849,25.395430579964852,74.60456942003515,0.22784145176410675,0.27762916684150696
GSM3396181_HEALTHY,0.3099900007247925,2367,3503,13276,13369,802,1565,33.882551753274186,66.11744824672581,0.2847122848033905,0.24683962762355804
GSM3396182_HEALTHY,0.3099900007247925,4726,3503,13276,13369,1229,3497,26.00507829030893,73.99492170969107,0.2501080334186554,0.31046801805496216
GSM3396183_HEALTHY,0.3099900007247925,4293,3503,13276,13369,955,3338,22.245515956207782,77.75448404379222,0.2158576399087906,0.2900393009185791
GSM3396184_HEALTHY,0.3099900007247925,4118,3503,13276,13369,1126,2992,27.343370568237006,72.65662943176298,0.2533181309700012,0.2836102545261383
GSM3396185_HEALTHY,0.3099900007247925,3643,3503,13276,13369,1330,2313,36.508372220697225,63.491627779302775,0.32000330090522766,0.30545252561569214
