	FH_5897_2	FH_6333_2	GSM3396161	GSM3396162	GSM3396163	GSM3396164	GSM3396165	GSM3396166	GSM3396167	GSM3396168	GSM3396169	GSM3396170	GSM3396171	GSM3396172	GSM3396173	GSM3396174	GSM3396175	GSM3396176	GSM3396177	GSM3396178	GSM3396179	GSM3396180	GSM3396181	GSM3396182	GSM3396183	GSM3396184	GSM3396185	GSM3516666_NORMAL	GSM3516665_PRIMARY	GSM3516667_PRIMARY	GSM3516664_METASTASIS	GSM3516668_METASTASIS
JAK-STAT signaling pathway - Homo sapiens (human)	0.019835004338000648	-2.342013271600303	0.14791316266815785	-0.24920169900406988	-1.4911976621766547	0.5147116629773333	-1.3412813143921876	-1.0969077057792	-0.04279528138462985	-1.6907175845671631	-1.0235603864472311	0.24553664790897092	-0.42689999363974124	-0.2525970703576885	-0.2535301020611545	-0.3240211101327571	-0.30898287293003307	0.6447719220030633	-0.20976239425319185	0.21130188131713556	0.6274150842815492	2.1657000448915085	0.9627376440107879	1.8752109698737551	-0.10488863118799666	-0.3218138429227304	0.6986418150047596	-1.450298058061542	-0.10257297082280832	0.7778896477669937	4.518982138863417	-0.3776056741843491
Thyroid cancer - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Bladder cancer - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Chronic myeloid leukemia - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Endometrial cancer - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Prostate cancer - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Colorectal cancer - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Pancreatic cancer - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Small cell lung cancer - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Thyroid hormone signaling pathway - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Endocrine resistance - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Acute myeloid leukemia - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Glioma - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Human T-cell leukemia virus 1 infection - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
AMPK signaling pathway - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Apelin signaling pathway - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Breast cancer - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
