gene,n_pathways,pathways
GPAT4,4,path:hsa00561; path:hsa00564; path:hsa01100; path:hsa04072
CAMK1D,4,path:hsa04020; path:hsa04921; path:hsa04925; path:hsa05214
TMPRSS2,4,path:hsa05164; path:hsa05171; path:hsa05202; path:hsa05215
AP2B1,4,path:hsa04144; path:hsa04721; path:hsa04961; path:hsa05016
ELOVL6,4,path:hsa00062; path:hsa01040; path:hsa01100; path:hsa01212
DNAH14,4,path:hsa04814; path:hsa05014; path:hsa05016; path:hsa05022
IMPDH2,4,path:hsa00230; path:hsa00983; path:hsa01100; path:hsa01232
SPTB,4,path:hsa04071; path:hsa04820; path:hsa05017; path:hsa05022
CCL28,4,path:hsa04060; path:hsa04061; path:hsa04062; path:hsa04672
HIST1H2BD,4,path:hsa04613; path:hsa05034; path:hsa05203; path:hsa05322
SSH3,4,path:hsa04360; path:hsa04810; path:hsa05130; path:hsa05132
FOSL1,4,path:hsa04310; path:hsa04380; path:hsa04657; path:hsa05166
MCL1,4,path:hsa04151; path:hsa04210; path:hsa04630; path:hsa05206
BAIAP2,4,path:hsa04520; path:hsa04810; path:hsa05130; path:hsa05135
DNALI1,4,path:hsa04814; path:hsa05014; path:hsa05016; path:hsa05022
MT1E,4,path:hsa00310; path:hsa01100; path:hsa04550; path:hsa04978
LPCAT1,3,path:hsa00564; path:hsa00565; path:hsa01100
CKAP4,3,path:hsa04141; path:hsa04630; path:hsa04917
SLC4A4,3,path:hsa04964; path:hsa04972; path:hsa04976
NAGLU,3,path:hsa00531; path:hsa01100; path:hsa04142
SMARCD3,3,path:hsa03082; path:hsa04714; path:hsa05225
GGT7,3,path:hsa00430; path:hsa00480; path:hsa01100
EEF1A2,3,path:hsa03013; path:hsa05134; path:hsa05140
LIFR,3,path:hsa04060; path:hsa04550; path:hsa04630
PTGES,3,path:hsa00590; path:hsa01100; path:hsa05207
TUSC3,3,path:hsa00510; path:hsa00513; path:hsa04141
SGPP2,3,path:hsa00600; path:hsa01100; path:hsa04071
GPC1,3,path:hsa04115; path:hsa05205; path:hsa05418
SLC39A4,3,path:hsa04978; path:hsa05010; path:hsa05012
QPRT,3,path:hsa00760; path:hsa01100; path:hsa01240
HYAL2,3,path:hsa00531; path:hsa01100; path:hsa04142
HYAL3,3,path:hsa00531; path:hsa01100; path:hsa04142
TRAF4,3,path:hsa04657; path:hsa05200; path:hsa05222
ENAH,3,path:hsa04015; path:hsa04360; path:hsa04810
P2RX6,3,path:hsa04020; path:hsa04080; path:hsa04082
RORC,3,path:hsa04659; path:hsa04710; path:hsa05321
ENDOG,3,path:hsa04080; path:hsa04210; path:hsa04371
LLGL2,3,path:hsa04390; path:hsa04530; path:hsa05165
IDUA,3,path:hsa00531; path:hsa01100; path:hsa04142
ALOX15B,3,path:hsa00590; path:hsa01100; path:hsa04726
NUDT13,3,path:hsa00760; path:hsa01100; path:hsa04146
GAMT,3,path:hsa00260; path:hsa00330; path:hsa01100
B3GALNT1,3,path:hsa00601; path:hsa00603; path:hsa01100
ZBTB16,3,path:hsa05200; path:hsa05202; path:hsa05221
CXADR,3,path:hsa03267; path:hsa04514; path:hsa05416
MGAT4B,3,path:hsa00510; path:hsa00513; path:hsa01100
HSD11B2,3,path:hsa00140; path:hsa01100; path:hsa04960
AHCY,3,path:hsa00270; path:hsa00670; path:hsa01100
SDR16C5,3,path:hsa00830; path:hsa01100; path:hsa01240
CDK7,3,path:hsa03022; path:hsa03420; path:hsa04110
PYCR1,3,path:hsa00330; path:hsa01100; path:hsa01230
NCKAP1,3,path:hsa04810; path:hsa05130; path:hsa05132
PMS2,3,path:hsa03010; path:hsa03430; path:hsa03460
OSMR,3,path:hsa04060; path:hsa04151; path:hsa04630
GALNT14,3,path:hsa00512; path:hsa00514; path:hsa01100
MBOAT2,3,path:hsa00561; path:hsa00564; path:hsa01100
KRT18,3,path:hsa04382; path:hsa04915; path:hsa05150
DSG2,3,path:hsa04382; path:hsa04820; path:hsa05412
GALNT7,3,path:hsa00512; path:hsa00514; path:hsa01100
KRT19,3,path:hsa04382; path:hsa04915; path:hsa05150
RAMP1,3,path:hsa04081; path:hsa04142; path:hsa04270
HGSNAT,3,path:hsa00531; path:hsa01100; path:hsa04142
RFX5,3,path:hsa04612; path:hsa05152; path:hsa05340
PIP5KL1,3,path:hsa00562; path:hsa01100; path:hsa04144
ARPIN,3,path:hsa04217; path:hsa04621; path:hsa05131
PHOSPHO2,3,path:hsa00750; path:hsa01100; path:hsa01240
FMO5,3,path:hsa00430; path:hsa00982; path:hsa01100
E2F5,3,path:hsa04110; path:hsa04218; path:hsa04350
BOK,3,path:hsa00030; path:hsa01100; path:hsa04215
OXCT1,3,path:hsa00280; path:hsa00650; path:hsa01100
DSEL,3,path:hsa00310; path:hsa00532; path:hsa01100
CTF1,3,path:hsa03013; path:hsa04060; path:hsa04630
CERS2,3,path:hsa00600; path:hsa01100; path:hsa04071
BCL3,2,path:hsa04625; path:hsa04668
ST3GAL4,2,path:hsa00601; path:hsa01100
DPP4,2,path:hsa03272; path:hsa04974
HOMER3,2,path:hsa04068; path:hsa04724
CHMP4C,2,path:hsa04144; path:hsa04217
TM7SF2,2,path:hsa00100; path:hsa01100
SMYD2,2,path:hsa00310; path:hsa01100
ASPH,2,path:hsa04020; path:hsa04260
BDH1,2,path:hsa00650; path:hsa01100
SMYD3,2,path:hsa00310; path:hsa01100
NUP155,2,path:hsa03013; path:hsa05014
MYO1D,2,path:hsa04814; path:hsa05130
MRC2,2,path:hsa04145; path:hsa05152
SCNN1B,2,path:hsa04742; path:hsa04960
CHPF,2,path:hsa00532; path:hsa01100
ST7,2,path:hsa00532; path:hsa04740
ROS1,2,path:hsa04148; path:hsa04610
DHCR24,2,path:hsa00100; path:hsa01100
STEAP3,2,path:hsa04115; path:hsa04216
SRD5A1,2,path:hsa00140; path:hsa01100
SELENBP1,2,path:hsa00920; path:hsa01100
ARSE,2,path:hsa03060; path:hsa05208
PLOD2,2,path:hsa00310; path:hsa01100
ALDH1A1,2,path:hsa00830; path:hsa01100
WWTR1,2,path:hsa04390; path:hsa04392
NNMT,2,path:hsa00760; path:hsa01100
DROSHA,2,path:hsa03008; path:hsa05205
TEAD1,2,path:hsa04390; path:hsa04392
ETNK2,2,path:hsa00564; path:hsa01100
CNN3,2,path:hsa04911; path:hsa04929
TLE6,2,path:hsa04310; path:hsa04330
AP1S1,2,path:hsa04142; path:hsa05170
MYO5C,2,path:hsa04814; path:hsa05130
KISS1,2,path:hsa04080; path:hsa04929
PAICS,2,path:hsa00230; path:hsa01100
MMP24,2,path:hsa04141; path:hsa04928
NECTIN3,2,path:hsa04514; path:hsa04520
LTK,2,path:hsa04010; path:hsa04722
GCAT,2,path:hsa00260; path:hsa01100
LCN2,2,path:hsa04657; path:hsa04978
MUC5B,2,path:hsa04657; path:hsa04970
TCN2,2,path:hsa04977; path:hsa04980
SCNN1A,2,path:hsa04742; path:hsa04960
VIPR1,2,path:hsa04080; path:hsa04081
TLE2,2,path:hsa04310; path:hsa04330
MARCKSL1,2,path:hsa04666; path:hsa05140
RUVBL1,2,path:hsa03082; path:hsa04310
CFH,2,path:hsa04610; path:hsa05150
IFT57,2,path:hsa05016; path:hsa05022
TARS,2,path:hsa00970; path:hsa04330
PLTP,2,path:hsa03320; path:hsa04979
TEAD4,2,path:hsa04390; path:hsa04392
KLF4,2,path:hsa04550; path:hsa05207
HIBADH,2,path:hsa00280; path:hsa01100
PCGF2,2,path:hsa03083; path:hsa04550
CRB3,2,path:hsa04530; path:hsa05165
P4HA2,2,path:hsa00330; path:hsa01100
AKAP1,2,path:hsa04928; path:hsa05163
DHCR7,2,path:hsa00100; path:hsa01100
FOXA2,2,path:hsa04213; path:hsa04950
SLC34A2,2,path:hsa04928; path:hsa04978
CD99L2,2,path:hsa04514; path:hsa04670
SIGMAR1,2,path:hsa05014; path:hsa05022
SNAI2,2,path:hsa04390; path:hsa04520
PARP3,2,path:hsa03410; path:hsa04210
SYNPO,2,path:hsa04530; path:hsa04820
TNNT1,2,path:hsa04814; path:hsa04820
RPL36A,2,path:hsa03010; path:hsa05171
